source,target,relationship
Syncaris pacifica,EN,hasIUCNStatus
Synthliboramphus craveri,VU,hasIUCNStatus
Synthliboramphus hypoleucus,EN,hasIUCNStatus
Synthliboramphus scrippsi,VU,hasIUCNStatus
Syrmaticus reevesii,VU,hasIUCNStatus
Tamias palmeri,EN,hasIUCNStatus
Tapirus terrestris,VU,hasIUCNStatus
Tautoga onitis,VU,hasIUCNStatus
Terrapene carolina,VU,hasIUCNStatus
Thalassarche chlororhynchos,EN,hasIUCNStatus
Thamnophis gigas,VU,hasIUCNStatus
Theliderma cylindrica,EN,hasIUCNStatus
Theliderma intermedia,EN,hasIUCNStatus
Theliderma sparsa,CR,hasIUCNStatus
Theliderma stapes,CR,hasIUCNStatus
Thunnus obesus,VU,hasIUCNStatus
Toxolasma cylindrellum,CR,hasIUCNStatus
Toxolasma pullum,VU,hasIUCNStatus
Toxostoma bendirei,VU,hasIUCNStatus
Trachemys gaigeae,VU,hasIUCNStatus
Trachypithecus francoisi,EN,hasIUCNStatus
Tragelaphus eurycerus,CR,hasIUCNStatus
Tremarctos ornatus,VU,hasIUCNStatus
Triaenodon obesus,VU,hasIUCNStatus
Trichechus manatus,EN,hasIUCNStatus
Trioceros quadricornis,VU,hasIUCNStatus
Tulotoma magnifica,EN,hasIUCNStatus
Tympanuchus pallidicinctus,VU,hasIUCNStatus
Uncia uncia,VU,hasIUCNStatus
Urocitellus brunneus,EN,hasIUCNStatus
Urocitellus townsendii,VU,hasIUCNStatus
Uroplatus ebenaui,VU,hasIUCNStatus
Uroplatus henkeli,VU,hasIUCNStatus
Ursus maritimus,VU,hasIUCNStatus
Ursus thibetanus,VU,hasIUCNStatus
Valvata mergella,EN,hasIUCNStatus
Varanus komodoensis,EN,hasIUCNStatus
Varecia rubra,CR,hasIUCNStatus
Varecia variegata,CR,hasIUCNStatus
Venustaconcha trabalis,CR,hasIUCNStatus
Vestiaria coccinea,VU,hasIUCNStatus
Vultur gryphus,VU,hasIUCNStatus
Xerarionta intercisa,VU,hasIUCNStatus
Xerarionta redimita,VU,hasIUCNStatus
Xerarionta tryoni,VU,hasIUCNStatus
Xyrauchen texanus,CR,hasIUCNStatus
